FCL Item code,FCL Title,Crop category,Source,Category,Categorized,Category (from FAO production definitions),Group,Scientific Name,Common Name,Definition
15,Wheat,Commodity crops,Wheat,Cereals,Yes,Cereals (Rice Milled Eqv),1 - CEREALS AND CEREAL PRODUCTS,"Triticum spp.: 
Triticum aestivum 
Triticum durum 
Triticum spelta","
common 
durum 
spelt","Common and durum wheat are the main types. Among common wheat, the main varieties are spring and winter, hard and soft, and red and white. At the national level, different varieties should be reported separately, reflecting their different uses. It includes meslin (a mixture wheat/rye). Used mainly for human food."
16,Flour of Wheat,Commodity crops,Wheat,Cereals,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"Defined broadly to include meal, groats and pellets. Strong flours from hard wheat are used for bread, while durum wheat flour is used primarily for pasta. Weaker flours from soft wheat are mainly used in cakes, pastries, biscuits and certain noodles."
17,Bran of Wheat,Commodity crops,Wheat,Fodder,Yes,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"Defined broadly to include sharps and other residue from the milling, sifting or other working of the grain. Contains a little flour."
18,Macaroni,Other crops,Macaroni,Cereals,No,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"Pasta made from semolina, or flour, that is mixed with water and kneaded into a dough. Other ingredients may be included as well. The dough is then shaped into various forms. This heading is limited to macaroni that is not cooked, stuffed or otherwise prepared."
19,Germ of Wheat,Commodity crops,Wheat,Cereals,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"The seed embryo. Whole or rolled germ is used for oil extraction by solvents. Flaked or ground germ is used in bakers' wares, dietetic preparations, feed supplements and in pharmaceutical preparations."
20,Bread,Other crops,Bread,Cereals,No,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"A baked product of flour or meal of cereals, especially wheat. Includes ordinary, unleavened, crackers, rusks, etc."
21,Bulgur,Other crops,Bulgur,Cereals,No,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"Whole wheat grains that are boiled, dried and cracked, either between stones or in a hand mill. Very popular in the Near East"
22,Pastry,Other crops,Pastry,Cereals,No,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"All baked products excluding those listed under bread. Pastry products may contain ingredients other than wheat flour, such as milk, eggs, sugar, honey, starch, fats, fruit, seeds, etc."
23,Starch of Wheat,#N/A,#N/A,#N/A,#N/A,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"Starch is the carbohydrate component in many plant cells. A white, odourless powder that is insoluble in cold water, it forms a paste in hot water. Wheat starch is used for human consumption and animal feed, and is processed into glucose and dextrine for industrial use. It is usually obtained from low-quality flour."
24,Wheat Gluten,#N/A,#N/A,#N/A,#N/A,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"A by-product of the industrial production of starch, wheat gluten is the preferred cereal gluten for food purposes. Uses include enriching protein in flours for bread, pasta, etc."
26,Wheat-Fermented Beverages,#N/A,#N/A,#N/A,#N/A,#N/A,15 - BEVERAGES,,,"Low-alcohol beverages from fermented flour, e.g. Korean jakju and takju."
27,"Rice, paddy",Commodity crops,Rice,Rice,Yes,Cereals (Rice Milled Eqv),1 - CEREALS AND CEREAL PRODUCTS,"Oryza spp.: 
Oryza sativa",,Rice grain after threshing and winnowing.Also known as rice in the husk and rough rice. Used mainly for human food.
28,"Rice, Husked",Commodity crops,Rice,Rice,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,Rice grain without hulls or husks. Also known as brown or cargo rice.
29,"Rice, Milled (Husked)",Commodity crops,Rice,Rice,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"White rice milled from imported husked rice. Includes semi-milled, whole-milled and parboiled rice."
31,"Rice, Milled",Commodity crops,Rice,Rice,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"White rice milled from locally grown paddy. Includes semi-milled, whole-milled and parboiled rice."
32,"Rice, Broken",Commodity crops,Rice,Rice,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"Residues from the selection of whole-grain, milled rice."
33,"Rice, Gluten",#N/A,#N/A,#N/A,#N/A,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,A by-product of the industrial production of starch. Not suitable for food use.
34,Starch of Rice,#N/A,#N/A,#N/A,#N/A,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"See 0023 Rice starch is usually obtained from broken rice. Use primarily in the photographic industry to prepare ""matt"" paper."
35,Bran of Rice,Commodity crops,Rice,Fodder,Yes,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"A by-product of polishing brown rice, comprising the pericarp, aleurone layer, embryo and some endosperm."
36,Oil of Rice Bran,Commodity crops,Rice,Vegetable oil,Yes,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Extracted from bran by pressure or, more frequently, by solvents."
37,Cake of Rice Bran,Commodity crops,Rice,Fodder,Yes,#N/A,11 - FODDER CROPS AND PRODUCTS,,,A residue of the extraction of oil. Also known as de-oiled rice bran.
38,Flour of Rice,Commodity crops,Rice,Rice,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,Produced by milling broken or milled rice. Finely ground rice flour is widely used in infant foods and in noodles. It is not used in bread because it lacks the necessary gluten-forming protein.
39,Rice-Fermented Beverages,Other crops,"Beverages, fermented rice",Alcohol+Tobacco,No,#N/A,15 - BEVERAGES,,,"Low-alcohol beverages, such as rice wine and sake."
41,Breakfast Cereals,Other crops,"Cereals, breakfast",Cereals,No,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"Foods prepared by swelling and roasting cereals or cereal products, e.g. corn flakes, puffed rice; cereals o/t maize, in grain form, precooked or otherwise prepared."
44,Barley,Commodity crops,Barley,Cereals,Yes,Cereals (Rice Milled Eqv),1 - CEREALS AND CEREAL PRODUCTS,"Hordeum spp.: 
Hordeum disticum 
Hordeum hexasticum 
Hordeum vulgare","
two-row barley 
six-row barley 
four-row barley","Tolerates poorer soils and lower temperatures better than does wheat. Varieties include with husk and without (naked). Used as a livestock feed, for malt and for preparing foods. The roasted grains are a coffee substitute."
45,Pot Barley,Commodity crops,Barley,Cereals,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"Whole-seed barley with the husks, hulls and bran removed."
46,"Barley, Pearled",Commodity crops,Barley,Cereals,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"Small, round pellets obtained by the further milling of pot barley. This definition also includes kibbled, rolled or flaked grains."
47,Bran of Barley,Commodity crops,Barley,Fodder,Yes,#N/A,11 - FODDER CROPS AND PRODUCTS,,,A by-product of the production of pot barley.
48,Barley Flour and Grits,Commodity crops,Barley,Cereals,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,Fine flour and course meal obtained as milling by-products of pearled barley.
49,Malt,Other crops,Malt,Cereals,No,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"A grain - usually barley - that has been germinated through a soaking process and then dried. Malt is used in brewing and distilling, and as a nutrient additive. Includes whole, ground, flour, and roasted malt, but excludes extracts and preparations."
50,Malt Extract,Other crops,Malt extract,Cereals,No,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"A concentrated solution from water-macerated malt, which is used in infant and dietetic foods and in bread baking."
51,Beer of Barley,Commodity crops,Barley,Alcohol+Tobacco,Yes,#N/A,15 - BEVERAGES,,,"Beverage that may be alcoholic or non-alcoholic that is made from fermented malted cereals (mainly barley), water and hops. Non-malted cereals may also be used. The FAO definition differs from the main international classifications in that it includes non-alcoholic beer."
56,Maize,Flex crops,Maize,Cereals,Yes,Cereals (Rice Milled Eqv),1 - CEREALS AND CEREAL PRODUCTS,Zea mays,"corn, Indian corn, mealies","A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production."
57,Germ of Maize,Flex crops,Maize,Cereals,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,The seed embryo that is separated during processing and is valued mainly for its oil.
58,Flour of Maize,Flex crops,Maize,Cereals,Yes,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"Broadly defined to include meal, groats and pellets."
59,Bran of Maize,Flex crops,Maize,Fodder,Yes,#N/A,11 - FODDER CROPS AND PRODUCTS,,,A by-product of the milling of shelled maize.
60,Oil of Maize,Flex crops,Maize,Vegetable oil,Yes,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Extracted from germ by pressure or by solvents.
61,Cake of Maize,Flex crops,Maize,Fodder,Yes,#N/A,11 - FODDER CROPS AND PRODUCTS,,,A residue of the extraction of oil from germ.
63,Maize Gluten,#N/A,#N/A,#N/A,#N/A,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"Maize protein is often called gluten, although it lacks the quality characteristics of wheat gluten. It is separated from maize during commercial wet milling and used to enrich animal feeds."
64,Starch of Maize,#N/A,#N/A,#N/A,#N/A,#N/A,1 - CEREALS AND CEREAL PRODUCTS,,,"See 0023. The primary product of the large- scale industrial wet-milling process. Used mainly for the production of glucose, dextrin and alcohol."
66,Beer of Maize,#N/A,#N/A,#N/A,#N/A,#N/A,15 - BEVERAGES,,,Prepared either from malted or unmalted cereal.
