FCL Item code,FCL Title,Group,Scientific Name,Common Name,Definition
0015,Wheat,1 - CEREALS AND CEREAL PRODUCTS,"Triticum spp.: 
Triticum aestivum 
Triticum durum 
Triticum spelta","
common 
durum 
spelt","Common and durum wheat are the main types. Among common wheat, the main varieties are spring and winter, hard and soft, and red and white. At the national level, different varieties should be reported separately, reflecting their different uses. It includes meslin (a mixture wheat/rye). Used mainly for human food."
0016,Flour of Wheat,1 - CEREALS AND CEREAL PRODUCTS,,,"Defined broadly to include meal, groats and pellets. Strong flours from hard wheat are used for bread, while durum wheat flour is used primarily for pasta. Weaker flours from soft wheat are mainly used in cakes, pastries, biscuits and certain noodles."
0017,Bran of Wheat,11 - FODDER CROPS AND PRODUCTS,,,"Defined broadly to include sharps and other residue from the milling, sifting or other working of the grain. Contains a little flour."
0018,Macaroni,1 - CEREALS AND CEREAL PRODUCTS,,,"Pasta made from semolina, or flour, that is mixed with water and kneaded into a dough. Other ingredients may be included as well. The dough is then shaped into various forms. This heading is limited to macaroni that is not cooked, stuffed or otherwise prepared."
0019,Germ of Wheat,1 - CEREALS AND CEREAL PRODUCTS,,,"The seed embryo. Whole or rolled germ is used for oil extraction by solvents. Flaked or ground germ is used in bakers' wares, dietetic preparations, feed supplements and in pharmaceutical preparations."
0020,Bread,1 - CEREALS AND CEREAL PRODUCTS,,,"A baked product of flour or meal of cereals, especially wheat. Includes ordinary, unleavened, crackers, rusks, etc."
0021,Bulgur,1 - CEREALS AND CEREAL PRODUCTS,,,"Whole wheat grains that are boiled, dried and cracked, either between stones or in a hand mill. Very popular in the Near East"
0022,Pastry,1 - CEREALS AND CEREAL PRODUCTS,,,"All baked products excluding those listed under bread. Pastry products may contain ingredients other than wheat flour, such as milk, eggs, sugar, honey, starch, fats, fruit, seeds, etc."
0023,Starch of Wheat,1 - CEREALS AND CEREAL PRODUCTS,,,"Starch is the carbohydrate component in many plant cells. A white, odourless powder that is insoluble in cold water, it forms a paste in hot water. Wheat starch is used for human consumption and animal feed, and is processed into glucose and dextrine for industrial use. It is usually obtained from low-quality flour."
0024,Wheat Gluten,1 - CEREALS AND CEREAL PRODUCTS,,,"A by-product of the industrial production of starch, wheat gluten is the preferred cereal gluten for food purposes. Uses include enriching protein in flours for bread, pasta, etc."
0026,Wheat-Fermented Beverages,15 - BEVERAGES,,,"Low-alcohol beverages from fermented flour, e.g. Korean jakju and takju."
0027,"Rice, paddy",1 - CEREALS AND CEREAL PRODUCTS,"Oryza spp.: 
Oryza sativa",,Rice grain after threshing and winnowing.Also known as rice in the husk and rough rice. Used mainly for human food.
0028,"Rice, Husked",1 - CEREALS AND CEREAL PRODUCTS,,,Rice grain without hulls or husks. Also known as brown or cargo rice.
0029,"Rice, Milled (Husked)",1 - CEREALS AND CEREAL PRODUCTS,,,"White rice milled from imported husked rice. Includes semi-milled, whole-milled and parboiled rice."
0031,"Rice, Milled",1 - CEREALS AND CEREAL PRODUCTS,,,"White rice milled from locally grown paddy. Includes semi-milled, whole-milled and parboiled rice."
0032,"Rice, Broken",1 - CEREALS AND CEREAL PRODUCTS,,,"Residues from the selection of whole-grain, milled rice."
0033,"Rice, Gluten",1 - CEREALS AND CEREAL PRODUCTS,,,A by-product of the industrial production of starch. Not suitable for food use.
0034,Starch of Rice,1 - CEREALS AND CEREAL PRODUCTS,,,"See 0023 Rice starch is usually obtained from broken rice. Use primarily in the photographic industry to prepare ""matt"" paper."
0035,Bran of Rice,11 - FODDER CROPS AND PRODUCTS,,,"A by-product of polishing brown rice, comprising the pericarp, aleurone layer, embryo and some endosperm."
