Item Group Code,Item Group,Item Code,Item,Crop,Crop category,Comment,Factor,HS Code,HS07 Code,HS12 Code,CPC Code
1817,Cereals (Rice Milled Eqv),44,Barley,Barley,Commodity crops,,1,,100300,"100310, 100390",115
1817,Cereals (Rice Milled Eqv),89,Buckwheat,,Other,,1,,100810,100810,1192
1817,Cereals (Rice Milled Eqv),101,Canary seed,,Other,,1,,100830,100830,1195
1817,Cereals (Rice Milled Eqv),108,Cereals nes,,Other,,1,,100890,100890,1199.9
1817,Cereals (Rice Milled Eqv),94,Fonio,,Other,,1,,100890,100840,1193
1817,Cereals (Rice Milled Eqv),103,"Grain, mixed",,Other,,1,,100890,100890,1199.02
1817,Cereals (Rice Milled Eqv),56,Maize,Maize,Flex crop,,1,,"100510, 100590","100510, 100590",112
1817,Cereals (Rice Milled Eqv),79,Millet,,Other,,1,,100820,"100821, 100829",118
1817,Cereals (Rice Milled Eqv),75,Oats,,Other,,1,,100400,"100410, 100490",117
1817,Cereals (Rice Milled Eqv),92,Quinoa,,Other,,1,,100890,100850,1194
1817,Cereals (Rice Milled Eqv),27,"Rice, paddy",Rice,Commodity crops,,1,,100610,100610,113
1817,Cereals (Rice Milled Eqv),71,Rye,,Other,,1,,100200,"100210, 100290",116
1817,Cereals (Rice Milled Eqv),83,Sorghum,Sorghum,Commodity crops,,1,,100700,"100710, 100790",114
1817,Cereals (Rice Milled Eqv),97,Triticale,,Other,,1,,100890,100860,1191
1817,Cereals (Rice Milled Eqv),15,Wheat,Wheat,Commodity crops,,1,,"100110, 100190","100111, 100119, 100191, 100199",111
1717,"Cereals, Total",44,Barley,Barley,Commodity crops,,1,,100300,"100310, 100390",115
1717,"Cereals, Total",89,Buckwheat,,Other,,1,,100810,100810,1192
1717,"Cereals, Total",101,Canary seed,,Other,,1,,100830,100830,1195
1717,"Cereals, Total",108,Cereals nes,,Other,,1,,100890,100890,1199.9
1717,"Cereals, Total",94,Fonio,,Other,,1,,100890,100840,1193
1717,"Cereals, Total",103,"Grain, mixed",,Other,,1,,100890,100890,1199.02
1717,"Cereals, Total",56,Maize,Maize,Flex crop,,1,,"100510, 100590","100510, 100590",112
1717,"Cereals, Total",79,Millet,,Other,,1,,100820,"100821, 100829",118
1717,"Cereals, Total",75,Oats,,Other,,1,,100400,"100410, 100490",117
1717,"Cereals, Total",92,Quinoa,,Other,,1,,100890,100850,1194
1717,"Cereals, Total",27,"Rice, paddy",Rice,Commodity crops,,1,,100610,100610,113
1717,"Cereals, Total",71,Rye,,Other,,1,,100200,"100210, 100290",116
1717,"Cereals, Total",83,Sorghum,Sorghum,Commodity crops,,1,,100700,"100710, 100790",114
1717,"Cereals, Total",97,Triticale,,Other,,1,,100890,100860,1191
1717,"Cereals, Total",15,Wheat,Wheat,Commodity crops,,1,,"100110, 100190","100111, 100119, 100191, 100199",111
1804,"Citrus Fruit, Total",512,"Fruit, citrus nes",,Other,,1,,80590,80590,1329
1804,"Citrus Fruit, Total",507,Grapefruit (inc. pomelos),,Other,,1,,80540,80540,1321
1804,"Citrus Fruit, Total",497,Lemons and limes,,Other,,1,,80550,80550,1322
1804,"Citrus Fruit, Total",490,Oranges,Oranges,Other,,1,,80510,80510,1323
1804,"Citrus Fruit, Total",495,"Tangerines, mandarins, clementines, satsumas",,Other,,1,,80520,80520,1324
1814,"Coarse Grain, Total",44,Barley,Barley,Commodity crops,,1,,100300,"100310, 100390",115
1814,"Coarse Grain, Total",89,Buckwheat,,Other,,1,,100810,100810,1192
1814,"Coarse Grain, Total",101,Canary seed,,Other,,1,,100830,100830,1195
1814,"Coarse Grain, Total",108,Cereals nes,,Other,,1,,100890,100890,1199.9
1814,"Coarse Grain, Total",94,Fonio,,Other,,1,,100890,100840,1193
1814,"Coarse Grain, Total",103,"Grain, mixed",,Other,,1,,100890,100890,1199.02
1814,"Coarse Grain, Total",56,Maize,Maize,Flex crop,,1,,"100510, 100590","100510, 100590",112
1814,"Coarse Grain, Total",79,Millet,,Other,,1,,100820,"100821, 100829",118
1814,"Coarse Grain, Total",75,Oats,,Other,,1,,100400,"100410, 100490",117
1814,"Coarse Grain, Total",92,Quinoa,,Other,,1,,100890,100850,1194
1814,"Coarse Grain, Total",71,Rye,,Other,,1,,100200,"100210, 100290",116
1814,"Coarse Grain, Total",83,Sorghum,Sorghum,Commodity crops,,1,,100700,"100710, 100790",114
1814,"Coarse Grain, Total",97,Triticale,,Other,,1,,100890,100860,1191
1714,Crops Primary,800,Agave fibres nes,,Other,,1,,530500,530500,1929.06
1714,Crops Primary,221,"Almonds, with shell",,Other,,1,,80211,80211,1371
1714,Crops Primary,711,"Anise, badian, fennel, coriander",,Other,,1,,"090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962",1654
1714,Crops Primary,515,Apples,,Other,,1,,80810,80810,1341
1714,Crops Primary,526,Apricots,,Other,,1,,80910,80910,1343
1714,Crops Primary,226,Areca nuts,,Other,,1,,80290,80280,1379.01
1714,Crops Primary,366,Artichokes,,Other,,1,,70990,70991,1216
1714,Crops Primary,367,Asparagus,,Other,,1,,70920,70920,1211
1714,Crops Primary,572,Avocados,,Other,,1,,80440,80440,1311
1714,Crops Primary,203,Bambara beans,,Other,,1,,71339,71334,1708
1714,Crops Primary,486,Bananas,Bananas,Commodity crops,,1,,80300,80390,1312
1714,Crops Primary,44,Barley,Barley,Commodity crops,,1,,100300,"100310, 100390",115
1714,Crops Primary,782,"Bastfibres, other",,Other,,1,,"530310, 530390","530310, 530390",1922.02
1714,Crops Primary,176,"Beans, dry",,Other,,1,,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339",1701
