Number,Item Group Code,Item Group,Category,Source,Crop category,Uses,Comment,Item Code,Item,Categorized?,Review,Factor,HS Code,HS07 Code,HS12 Code,CPC Code,Origin of data
1,1882,"Agricult.Products,Total",Non-food,Agave,Other crops,,,800,Agave fibres nes,Yes,,1,,530500,530500,1929.06,"From ""item group"" in trade definitions"
2,1882,"Agricult.Products,Total",Fodder,Alfalfa,Other crops,,,862,Alfalfa meal and pellets,Yes,,1,,121410,121410,23320,"From ""item group"" in trade definitions"
3,1882,"Agricult.Products,Total",Nuts,Almonds,Other crops,,,231,Almonds shelled,Yes,,1,,80212,80212,21422,"From ""item group"" in trade definitions"
4,1882,"Agricult.Products,Total",Nuts,Almonds,Other crops,,,221,"Almonds, with shell",Yes,,1,,80211,80211,1371,"From ""item group"" in trade definitions"
5,1882,"Agricult.Products,Total",Animals,Animals live nes,Non crops,,,1171,Animals live nes,No,,1,,"010611, 010612, 010619, 010620, 010639, 010690","010611, 010612, 010619, 010620, 010633, 010649",2199.2,"From ""item group"" in trade definitions"
6,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,"Anise, badian, fennel, coriander",Other crops,,,711,"Anise, badian, fennel, coriander",Yes,,1,,"090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962",1654,"From ""item group"" in trade definitions"
7,1882,"Agricult.Products,Total",Fruits,Apples,Other crops,,,515,Apples,Yes,,1,,80810,80810,1341,"From ""item group"" in trade definitions"
8,1882,"Agricult.Products,Total",Fruits,Apricots,Other crops,,,526,Apricots,Yes,,1,,80910,80910,1343,"From ""item group"" in trade definitions"
9,1882,"Agricult.Products,Total",Fruits,Apricots,Other crops,,,527,"Apricots, dry",Yes,,1,,81310,81310,21419.01,"From ""item group"" in trade definitions"
10,1882,"Agricult.Products,Total",Nuts,Areca nuts,Other crops,,,226,Areca nuts,Yes,,1,,80290,80280,1379.01,"From ""item group"" in trade definitions"
11,1882,"Agricult.Products,Total",Vegetables,Artichokes,Other crops,,,366,Artichokes,Yes,,1,,70990,70991,1216,"From ""item group"" in trade definitions"
12,1882,"Agricult.Products,Total",Vegetables,Asparagus,Other crops,,,367,Asparagus,Yes,,1,,70920,70920,1211,"From ""item group"" in trade definitions"
13,1882,"Agricult.Products,Total",Animals,Asses,Non crops,,,1107,Asses,No,,1,,"010110, 010190",10130,2132,"From ""item group"" in trade definitions"
14,1882,"Agricult.Products,Total",Vegetables,Avocados,Other crops,,,572,Avocados,Yes,,1,,80440,80440,1311,"From ""item group"" in trade definitions"
15,1882,"Agricult.Products,Total",Meat,Bacon and ham,Non crops,,,1039,Bacon and ham,No,,1,,"021011, 021012, 021019","021011, 021012, 021019",21181,"From ""item group"" in trade definitions"
16,1882,"Agricult.Products,Total",Fodder,Sugar cane,Flex crops,,,170,Bagasse,Yes,,1,,230320,230320,39140.02,"From ""item group"" in trade definitions"
17,1882,"Agricult.Products,Total",Pulses,Bambara beans,Other crops,,,203,Bambara beans,Yes,,1,,71339,71334,1708,"From ""item group"" in trade definitions"
18,1882,"Agricult.Products,Total",Fruits,Bananas,Commodity crops,,,486,Bananas,Yes,,1,,80300,80390,1312,"From ""item group"" in trade definitions"
19,1882,"Agricult.Products,Total",Cereals,Barley,Commodity crops,,,44,Barley,Yes,,1,,100300,"100310, 100390",115,"From ""item group"" in trade definitions"
20,1882,"Agricult.Products,Total",Cereals,Barley,Commodity crops,,,46,"Barley, pearled",Yes,,1,,"110419, 110429","110419, 110429",23140.05,"From ""item group"" in trade definitions"
21,1882,"Agricult.Products,Total",Cereals,Barley,Commodity crops,,,45,"Barley, pot",Yes,,1,,110429,110429,23140.04,"From ""item group"" in trade definitions"
22,1882,"Agricult.Products,Total",Non-food,"Bastfibres, other",Other crops,,,782,"Bastfibres, other",No,,1,,"530310, 530390","530310, 530390",1922.02,"From ""item group"" in trade definitions"
23,1882,"Agricult.Products,Total",Pulses,Beans,Other crops,,,176,"Beans, dry",Yes,,1,,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339",1701,"From ""item group"" in trade definitions"
24,1882,"Agricult.Products,Total",Pulses,Beans,Other crops,,,414,"Beans, green",Yes,,1,,70820,70820,1241.9,"From ""item group"" in trade definitions"
