Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1961","1961","%","11.79","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1962","1962","%","11.89","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1963","1963","%","11.96","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1964","1964","%","12.06","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1965","1965","%","12.06","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1966","1966","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1967","1967","%","12.22","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1968","1968","%","12.22","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1969","1969","%","12.25","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1970","1970","%","12.26","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1971","1971","%","12.31","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1972","1972","%","12.32","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1973","1973","%","12.33","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1974","1974","%","12.33","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1975","1975","%","12.33","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1976","1976","%","12.33","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1977","1977","%","12.33","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1978","1978","%","12.33","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1979","1979","%","12.33","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1980","1980","%","12.33","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1981","1981","%","12.33","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1982","1982","%","12.34","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1983","1983","%","12.34","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1984","1984","%","12.34","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1985","1985","%","12.34","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1986","1986","%","12.34","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1987","1987","%","12.32","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1988","1988","%","12.32","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1989","1989","%","12.32","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1990","1990","%","12.32","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1991","1991","%","12.3","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1992","1992","%","12.3","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1993","1993","%","12.15","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1994","1994","%","11.97","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1995","1995","%","11.88","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1996","1996","%","11.87","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1997","1997","%","11.93","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1998","1998","%","12.05","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","1999","1999","%","11.88","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2000","2000","%","11.88","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2001","2001","%","11.88","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2002","2002","%","11.88","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2003","2003","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2004","2004","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2005","2005","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2006","2006","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2007","2007","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2008","2008","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2009","2009","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2010","2010","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2011","2011","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2012","2012","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2013","2013","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2014","2014","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2015","2015","%","12.12","Fc","Calculated data"
"EL","Land Use","2","Afghanistan","7209","Share in Land area","6620","Cropland","2016","2016","%","12.12","Fc","Calculated data"
