Investor ID,Name,Country of registration/origin,Classification,Investor homepage,Opencorporates link,Comment,Action comment
2,Government of Bangladesh,Bangladesh,State-/government (owned) company,,,,
11,China Asean Resources Ltd.,"China, Hong Kong Special Administrative Region",Stock-exchange listed company,,,,
12,Agro Forestry Research,China,,,,,
14,Amira Nature Foods Ltd,United Arab Emirates,Stock-exchange listed company,,,,
18,Bigimexco,Vietnam,Private company,,,,
19,BNA (Cam) Corp,Republic of Korea,Private company,,,"Origingal data entry: BNA (Cam) Corp / deleted possible LINE BREAK at the end of investor name.

Company Address: National Road No 6, Kean Khlaing Village, 12112 Phnom Penh, Cambodia ",
20,"Bon Bon World Investments and Consulting Group Ltd., New York",United States of America,Investment fund,,,,
25,Carmadeno Venture Limited,India,,,,,
27,Central First Company,United States of America,,,,,
28,China National Corporation for Overseas Economic Cooperation Laod Star Development,China,,,,,
31,CIV Development Company,Vietnam,Private company,,,,
35,Doty Saigon-Binh Phouc (SBK),,,,,,
37,Fortuna Plantation (Cambodia) Limited,Malaysia,,,,,
42,Global Tech Sdn.,Malaysia,Private company,,,,
43,Gold Foison (Cambodia) A/C Import Export & Construction Co Ltd,Cambodia,Private company,,,There seems to be a Chinese or Vietnamese investor or parent company behind Gold Foison.,
44,"Golden Land Development Co., Ltd",China,Private company,,,,
46,Hanwha Group,Republic of Korea,Private company,,,,
62,Indochina Gateway Capital Limited,Australia,Investment fund,,,,
66,Kapa Ltd,Republic of Korea,Private company,,,,
71,Kuwait China Investment Company (KCIC),Kuwait,Stock-exchange listed company,,,,
79,Men Sarun Co. Ltd.,Cambodia,Private company,,,,
85,Oryung Construction,Republic of Korea,,,,,
97,River Sugarcane,Thailand,,,,,
102,HLH Group Limited,Singapore,Stock-exchange listed company,,,,
112,TTY Industrial Crops Development Import-Export,Cambodia,Private company,,,,
116,VANNMA Import-Export Co.; Ltd,Cambodia,,,,,
117,Vietnam Rubber Group,Vietnam,Semi state-owned company,,,More than 50%. See http://www.vnrubbergroup.com/en/member_list_ownership.php?id=50,
119,Wuzhishan L.S Group,China,Private company,,,,
124,Unnamed investor 12,Qatar,State-/government (owned) company,,,,
129,Kimsville Corp.,,Private company,,,,
130,Cambo Victor Investing and Developing Co. Ltd.,,Private company,,,,
131,Real Green Co. Ltd.,Thailand,Private company,,,,
138,Asahi Breweries Ltd,Japan,,,,,
139,Itochu Corp,Japan,Private company,,,"Additional investors: - Bioethanol and Energy Investments Corp.
- GCO
Domestic Partner: EcoFund Land Development Inc.

",
140,Sumitomo Chemical Company Ltd.,Japan,Private company,,,,
142,Fonterra Co-operative Group Limited,New Zealand,Private company,,,,
143,Wilmar International Ltd,Singapore,Stock-exchange listed company,,,"Shareholders and banks are the most important financial
stakeholders of Wilmar International. Shareholders finance 35.6 percent of the Wilmar’s assets. A large amount of the shares of the
company are held by a few major shareholders, including the Kuok Group and the American commodity trader Archer Daniel Midlands,
which holds 18.1 percent of the shares in Wilmar through its wholly owned subsidiaries ADM Asia Pacific, ADM Ag Holding and Global Cocoa Holdings. Other major investors in Wilmar International include the investment management firms BlackRock, Vanguard, T. Rowe Price and Van Eck Associates. At the end of 2014, bank loans financed 50.4 percent of Wilmar’s
assets, largely through short-term trading loans.",
146,Cargill,United States of America,Private company,,,36 societies were created between 2010 and 2012 (with the same legal responsible) but were bought by Cargill in 2012. This strategy were built for the same lawyer buffet to avoid the farm land grabbing to Ripaila S.A,
147,Stora Enso,Finland,Stock-exchange listed company,,,,
148,Government of China,China,State-/government (owned) company,,,,
157,Chaoda Modern Agriculture (Holdings) Limited,China,Stock-exchange listed company,,,The company is listed on the Hong Kong stock exchange,
160,China Huiyuan Juice Group Ltd,China,Stock-exchange listed company,,,"The company is listed on the Hong Kong stock exchange
Suntory and Yeo Hiap Seng Limited is now a shareholder of the secondary investor but it is not indicate how much are the stocks that they hold; only that both of the companies has a 50:50 share of a specific joint venture agreement.",
162,GTLeste Biotech,Indonesia,Private company,,,,
163,Southern Online Bio Technologies Ltd.,India,Stock-exchange listed company,,,,
164,United Infrastructure Pvt Ltd,India,Private company,,,,
167,Sinopec,China,State-/government (owned) company,,,,
168,Bolloré Group,France,Private company,,,"Through subsidiary SAFA. SAFACAM is owned by 69% by Socfinaf; Socfinaf is owned by 59% by SOCFIN; Bolloré group owns 38,7 % of SOCFIN.",
169,Mellori Group,Italy,,,,,
170,NEOS Resources PLC,United Kingdom of Great Britain and Northern Ireland,Stock-exchange listed company,,,"formerly named D1 Oils plc
D1-Mohan Bio Oils Ltd. Is a joint venture (at 50:50) between D1 Oils plc, a UK-based
multinational company, and Chennai-based Mohan Breweries & Distilleries Limited. (http://
www.d1plc.com/",
173,Sinar Mas Group,Indonesia,Private company,,,Golden Agri Resources is a subsidiary of Sinar Mas Group,
177,Bunge Ltd,United States of America,Stock-exchange listed company,,,,
178,KS Oils Ltd,India,Stock-exchange listed company,,,KS Oils Ltd invested in Indonesia through its subsidiary KS Natural Resources Pvt Ltd (KSNR) (Singapore),
182,Nonghyup Feed Inc.,Republic of Korea,Private company,,,,
189,BHP  Billiton,Australia,Stock-exchange listed company,,,,
197,Rajawali Group,Indonesia,Private company,,,,
199,PT Perkebunan Nusantara XIII (Persero) (PTPN  XIII),Indonesia,State-/government (owned) company,,,,
201,Sime Darby,Malaysia,Stock-exchange listed company,,,,
202,First Resources,Singapore,Stock-exchange listed company,,,,
204,Golden Agri-Resources Ltd (GAR),Singapore,Stock-exchange listed company,,,"Flamengo International, the holding for the Widjaja Family of Indonesia, owns 50% of GAR.",
208,Kuala Lumpur Kepong Berhad (KLK),Malaysia,Stock-exchange listed company,,,"Its subsidiary are PT Sekarbumi Alam Lestari, PT Langkat Nusantara Kepong, KLK Bioenergy Sdn Bhd.",
210,PT Astra Agro Lestari Tbk,Indonesia,Stock-exchange listed company,,,,
211,Noble Group,"China, Hong Kong Special Administrative Region",Stock-exchange listed company,,,,
220,"Suntime International Techno-Economic Cooperation (Group) Co., Ltd.",China,Stock-exchange listed company,,,operates under the control of the Xinjiang Production and Construction Corp and is one its main international business arms,
222,Dexion Capital,United Kingdom of Great Britain and Northern Ireland,,,,"via Global Farming Ltd, which should ""own and manage farms"" (http://farmlandgrab.org/post/view/2405-farming-lures-more-managers-as-dexion-prepares-270-million-fund-raising#sthash.ny6xzhYX.dpuf )",
223,Toyota Tshusho Corp,Japan,Stock-exchange listed company,,,,
224,Saudi Company for Agricultural Investment and Animal Production,Saudi Arabia,Semi state-owned company,,,,
226,Altimo one world agricultural fund,United States of America,Investment fund,,,,
227,International Finance Corporation,United States of America,,,,"International financial institution. Headquarters: Washington, D.C., United States. ",
228,Noor company,"Egypt, Arab Rep.",,,,,
229,I K Company,United Kingdom of Great Britain and Northern Ireland,,,,private company ,
