Investor ID Downstream,Investor Name Downstream,Investor ID Upstream,Investor Name Upstream,Relation type,Investment type,Ownership share,Loan amount,Loan currency,Loan date,Comment
35014,Unknown (Lao Bio Diesel Import Export Company Ltd),3155,Lao Bio Diesel Import Export Company Ltd,Parent company,,,,,,
40507,OP Corporate Bank plc,40506,OP Financial Group,Parent company,,,,,,
4572,Tornator Oyj,40507,OP Corporate Bank plc,Tertiary investor/lender,,,,,,
35550,SC Tornator SRL,4572,Tornator Oyj,Parent company,,,,,,
40515,Elifibr LLC,40514,Michel Tereshchenko,Parent company,,,,,,
40519,Agro Investments (Ukraine) Limited,3521,NCH Capital Inc.,Parent company,,,,,,
40520,Bio Verde LLC,40519,Agro Investments (Ukraine) Limited,Parent company,,,,,,
40521,Vesele-Agro LLC,40520,Bio Verde LLC,Parent company,,,,,,
40522,Volyn-Agro LLC,40517,Bio Verde LLC,Parent company,,,,,,
4862,Stark Industries Myanmar,40523,Mya Thidar Sway Tin,Parent company,,,,,,
40531,Unknown (Iglesia ni Cristo),40530,Iglesia ni Cristo,Parent company,,,,,,
2282,TSB Sugar,40532,RCL Foods Limited,Parent company,,,,,,
36941,Massingir Agro-Industrial,2283,Sociedade de Investimentos Agro-Industriais do Limpopo (SIAL),Parent company,,,,,,
36941,Massingir Agro-Industrial,2282,TSB Sugar,Parent company,,,,,,
40535,Idavang A/S,227,International Finance Corporation,Parent company,,,,,,
40535,Idavang A/S,40534,Jast Holding A/S,Parent company,,,,,,
40536,Idavang LLC,40533,Idavang-Invest LLC,Parent company,,,,,,
40536,Idavang LLC,40535,Idavang A/S,Parent company,,,,,,
40540,Heilongjiang Agriculture Co. Ltd,40539,Heilongjiang Beidahuang Land Reclamation Group Corporation,Parent company,,,,,,
40542,JBA Holdings,40538,Joyvio Group,Parent company,,,,,,
40542,JBA Holdings,40540,Heilongjiang Agriculture Co. Ltd,Parent company,,,,,,
40542,JBA Holdings,40541,Jiusan Group,Parent company,,,,,,
40543,Unknown (JBA Holdings (China),40542,JBA Holdings,Parent company,,,,,,
