"Subsection Code","Section","Subsection","Metadata"
"1.1","Contacts","Contact organisation","Food and Agriculture Organization of the United Nations (FAO)"
"1.2","Contacts","Contact organisation unit","Statistics Division (ESS), Environment Statistics Team"
"1.3","Contacts","Contact name","Francesco Nicola Tubiello"
"1.4","Contacts","Contact person function","Team Leader/Senior Statistician"
"1.5","Contacts","Contact mail address","Viale delle Terme di Caracalla, 00153 Rome, Italy"
"1.6","Contacts","Contact email address","faostat@fao.org"
"1.7","Contacts","Contact phone number","+39 06 5705 5303"
"1.8","Contacts","Contact fax number",""
"2.1","Action Date","Metadata last certified","22/10/2018"
"2.2","Action Date","Metadata last posted","22/10/2018"
"2.3","Action Date","Metadata last update","22/10/2018"
"3.1","Main Characteristics data","Data description","The Agri-environmental Indicators—Land Use domain provides information on the distribution of agricultural and forest land, and their sub-components, including irrigated areas and areas under organic agriculture, at national, regional and global levels."
"3.2","Main Characteristics data","Classification system","FAOSTAT - FAO CodesThe underlying Land Use categories are aligned with the UN System of Environment-Economic Account Central Framework (SEEA CF) and with the 2020 World Census of Agriculture."
"3.2.1","Main Characteristics data","Primary classification",""
"3.2.2","Main Characteristics data","Secondary classification",""
"3.2.3","Main Characteristics data","Secondary classification",""
"3.3","Main Characteristics data","Sector coverage","Land Use categories, Irrigation and other Agricultural practices"
"3.4","Main Characteristics data","Statistical concepts and definitions","Data of the Agri-environmental indicator – Land Use domain are based on country statistics from the FAOSTAT domain Inputs/Land Use (http://www.fao.org/faostat/en/#data/RL). The indicator describes the shares of different land use types at national, regional and global levels over time for the following elements (in %): i) Share in Land area; ii) Share in Agricultural land and iii) Share in Forest land.Time series vary by the underlying data availability of each land use type.Data of “Agricultural land” and its sub-categories: “Arable land”; “Land under permanent crops”; “Land under permanent meadows and pastures”; and “Land area equipped for irrigation” are available from 1961 onward. Data of “Agriculture area actually irrigated” are available since 2001 to present. Data for the component “Agriculture area under organic agriculture” are available from 2004 onward. Data of “Forest land” and of its sub-components “Primary Forest”, “Other naturally regenerated forest” and “Planted Forest” are available since 1990. Last available year is 2016."
"3.5","Main Characteristics data","Statistical unit","Countries and Territories"
"3.6","Main Characteristics data","Statistical population","Countries and Territories of the world"
"3.7","Main Characteristics data","Reference area","Area of all the Countries and Territories of the world."
"3.7.1","Main Characteristics data","Code - reference area","FAOSTAT, M49, ISO2 and ISO3 (http://www.fao.org/faostat/en/#definitions)."
"3.7.2","Main Characteristics data","Code - Number of countries/areas covered",""
"3.8","Main Characteristics data","Time coverage","1961-2016"
"3.8.1","Main Characteristics data","Periodicity","Yearly"
"3.8.2","Main Characteristics data","Start period",""
"3.8.3","Main Characteristics data","End period",""
"3.9","Main Characteristics data","Base period",""
"3.9.1","Main Characteristics data","Base period code",""
"4.0","Units","Unit of Measure","Percent (%)"
"4.1","Units","Unit of measure codes",""
"5.0","Reference period","Reference period","Calendar Year"
"6.0","Formal Set of Instructions","Institutional mandate","Article I of the constitution indeed requires the Organization to collect, analyse, interpret and disseminate information relating to nutrition, food and agriculture (the term “agriculture” and its derivatives includes forestry, fisheries and aquaculture). The first session of the FAO Conference in 1945 provided the rationale: “If FAO is to carry out its work successfully it will need to know where and why hunger and malnutrition exist, what forms they take, and how widespread they are. Such data will serve as a basis for making plans, determining the efficacy of measures used, and measuring progress from time to time.” Member countries reaffirmed this mandate in 2000 when formulating the Organization’s strategic thrusts for the 2000-2015 period: Corporate Strategy E1 commits the Organization to building “an integrated information resource base, with current, relevant and reliable statistics, information and knowledge made accessible to all FAO clients."
"6.1","Formal Set of Instructions","Legal acts and other agreements","For legal acts concerning statistics at national levels see links to country websites"
"6.2","Formal Set of Instructions","Data sharing","FAO annual questionnaire on Land use, Irrigation and Agricultural practices is the primary source of country land-use data. Data are collected through the questionnaire from official national sources. Starting from 2001, the land-use questionnaire was revised in order to obtain further information on the land-use sub-categories as well as on the areas that are actually irrigated. Since 2010, the FAO Statistics Division Land Use questionnaire gathers information on the land used for organic agriculture and land in conversion to organic agriculture. If official data about Organic land have not been provided, the information has been supplemented by other sources such as the Research Institute of Organic Agriculture FiBL and the Mediterranean Organic Agriculture Network, MOAN. For further details see also ANNEX: Agro-Environmental Indicators - Land Use."
"6.2.1","Formal Set of Instructions","Code - IOs from which FAO imports all or some data",""
"7.0","Formal Provision","Confidentiality",""
